Year,Trifd,Frs_id,Facility,Street_address,City,County,State,Zip,Latitude,Longitude,Company_name,Federal_facility,Industry_sector,Chemical,Carcinogen
2021,28334MCPGN1600S,110009855914.0,BRAINERD CHEMICAL CO LLC OF NORTH CAROLINA,1600 S WILSON AVENUES,DUNN,HARNETT,NC,28334,35.294444,-78.621111,BRAINERD CHEMICAL CO INC,NO,Chemical Wholesalers,Nitric acid,NO
2021,2703WDFSNC511HA,110070932584.0,DFA US INC.,511 HAY ST,MOUNT AIRY,SURRY,NC,27030,36.50961,-80.61853,NA,NO,Plastics and Rubber,Diisocyanates,NO
2021,2758WRGSRD525UN,110060257350.0,ARGOS READY MIX CAPITAL BLVD CONCRETE PLANT,5025 UNICON DR,WAKE FOREST,WAKE,NC,27587,35.9247,-78.53783,ARGOS USA CORP,NO,Nonmetallic Mineral Product,Lead,YES
2021,27028NGRSL501SA,110000345145.0,INGERSOLL-RAND CO-MOCKSVILLE OPERATIONS,501 SANFORD AVE,MOCKSVILLE,DAVIE,NC,27028,35.89166,-80.56909,INGERSOLL-RAND CO,NO,Machinery,Manganese,NO
2021,2791WNVVPL142NC,110071286085.0,ENVIVA PELLETS LLC - AHOSKIE FACILITY,142 NC HIGHWAY 561 E,AHOSKIE,HERTFORD,NC,27910,36.269338,-76.964464,ENVIVA LP,NO,Wood Products,Propionaldehyde,NO
2021,28613RCRPNBOX87,110000350799.0,CARPENTER CO,2009 KEISLER DAIRY RD,CONOVER,CATAWBA,NC,28613,35.693611,-81.181667,CARPENTER CO,NO,Plastics and Rubber,Toluene diisocyanate (mixed isomers),YES
2021,28613RCRPNBOX87,110000350799.0,CARPENTER CO,2009 KEISLER DAIRY RD,CONOVER,CATAWBA,NC,28613,35.693611,-81.181667,CARPENTER CO,NO,Plastics and Rubber,Diisocyanates,NO
2021,28601SHFRDLIGHL,110000350539.0,SHURTAPE TECHNOLOGIES LLC - HICKORY TAPE PLANT,1620 HIGHLAND AVENUE NE,HICKORY,CATAWBA,NC,28601,35.738,-81.309,STM INC,NO,Paper,Zinc compounds,NO
2021,27559WYRHSSTATE,110000346992.0,ARAUCO N.A. INC.,985 CORINTH RD,MONCURE,CHATHAM,NC,27559,35.60067,-79.04634,ARAUCO NORTH AMERICA INC,NO,Wood Products,Formaldehyde,YES
2021,28086RLNCL101RE,110001135487.0,ABB MOTORS & MECHANICAL INC,101 RELIANCE RD,KINGS MOUNTAIN,CLEVELAND,NC,28086,35.24917,-81.40746,NA,NO,Electrical Equipment,Nickel,YES
2021,28560WYRHSSTREE,110000350478.0,INTERNATIONAL PAPER- NEW BERN MILL,1785 WEYERHAEUSER RD,VANCEBORO,CRAVEN,NC,28586,35.212247,-77.114823,INTERNATIONAL PAPER CO,NO,Paper,Ammonia,NO
